first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Mario,Yakoo,Boise State,OG,76,312,5.42,,,,,
Parker,Collins,Appalachian State,OG,74,304,5.13,,,,,
Dylan,Wiesman,Tennessee,OG,76,309,5.06,,,,,
Zack,Johnson,North Dakota State,OG,76,346,5.59,,,,,
Kareem,Are,Florida State,OG,77,313,5.65,,,,,
Caleb,Peterson,North Carolina,OG,76,300,5.28,,,,,
Anton,Wahrby,Wofford,OG,75,300,5.29,,,,,
Eric,Smith,Virginia,OG,76,312,5.39,,,,,
Freddie,Tagaloa,Arizona,OG,78,307,5.3,,,,,
Zach,Voytek,New Haven,OG,76,313,5.41,,,,,
Fred,Zerblis,Colorado State,OG,74,302,5.56,,,,,
Jake,Simonich,Utah State,OG,77,296,5.2,,,,,
